epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6606,1.62387,3.35904,1.95716,0.00324,0.94747,0.10587,0.06016,0.87224,4.06236,1.43196,0.00011432,0.00011432,0.00011432
2,59.368,1.33623,2.95101,1.7553,0.00323,0.9697,0.23045,0.12322,1.36996,4.17578,1.75213,0.00023812,0.00023812,0.00023812
3,86.5954,1.30836,2.6542,1.69986,0.00312,0.92525,0.36182,0.21177,1.14275,3.92949,1.6519,0.000356827,0.000356827,0.000356827
4,113.88,1.21221,2.33067,1.66586,0.75825,0.10216,0.38224,0.20665,1.37883,3.88651,1.9136,0.000470441,0.000470441,0.000470441
5,140.224,1.25945,2.23655,1.6982,0.53379,0.11313,0.39114,0.21239,1.60385,3.85357,2.08535,0.000578962,0.000578962,0.000578962
6,166.626,1.26751,2.31516,1.68275,0.48443,0.2303,0.35704,0.21486,1.8637,3.86127,2.35518,0.00068239,0.00068239,0.00068239
7,192.848,1.26078,2.20134,1.64041,0.52685,0.4564,0.3906,0.23467,1.51668,3.43151,2.19016,0.000780726,0.000780726,0.000780726
8,219.237,1.30966,2.19454,1.72656,0.3346,0.46263,0.45655,0.23192,1.68658,3.54487,2.5664,0.000873968,0.000873968,0.000873968
9,245.672,1.23412,1.98895,1.63409,0.25089,0.33535,0.25224,0.11928,1.66063,3.79308,2.30035,0.000962117,0.000962117,0.000962117
10,272.187,1.31789,1.97979,1.71098,0.63279,0.22841,0.24709,0.07163,1.99692,4.03246,2.43109,0.00104517,0.00104517,0.00104517
11,298.861,1.29877,2.06035,1.69377,0.49445,0.19596,0.12845,0.05201,1.99567,4.58349,2.40881,0.00112314,0.00112314,0.00112314
12,325.421,1.2674,1.93778,1.66989,0.77386,0.17778,0.26151,0.10949,2.05602,4.34189,2.79745,0.00111776,0.00111776,0.00111776
13,351.753,1.28193,1.89828,1.66715,0.32278,0.27802,0.31211,0.10733,1.99464,4.16446,2.69559,0.00108947,0.00108947,0.00108947
14,378.159,1.30028,1.91844,1.69275,0.30028,0.33535,0.29772,0.1353,1.80357,3.75272,2.47093,0.00106118,0.00106118,0.00106118
15,404.946,1.28514,1.93587,1.68961,0.34116,0.34343,0.26222,0.11392,1.73199,3.63255,2.33747,0.00103288,0.00103288,0.00103288
16,431.522,1.36064,2.09052,1.74908,0.5477,0.48879,0.3704,0.1612,1.8648,3.52498,2.45394,0.00100459,0.00100459,0.00100459
17,457.817,1.20113,1.71707,1.64394,0.30729,0.35398,0.26276,0.10913,1.97761,4.0987,2.55622,0.000976293,0.000976293,0.000976293
18,484.323,1.27802,1.84656,1.66822,0.31204,0.40404,0.25454,0.12843,1.74719,3.86153,2.11768,0.000947999,0.000947999,0.000947999
19,511.081,1.32224,1.83417,1.67481,0.34598,0.37172,0.41337,0.21445,1.77583,3.53502,2.146,0.000919704,0.000919704,0.000919704
20,537.742,1.17733,1.67445,1.58429,0.36385,0.50486,0.43821,0.24573,1.69126,3.46852,2.06317,0.00089141,0.00089141,0.00089141
21,563.648,1.2424,1.86374,1.68103,0.4628,0.51742,0.49621,0.30098,1.6485,3.09212,2.02453,0.000863116,0.000863116,0.000863116
22,589.383,1.24259,1.73711,1.67223,0.47429,0.63406,0.52837,0.31764,1.67976,2.86482,2.02385,0.000834822,0.000834822,0.000834822
23,615.216,1.29092,1.75827,1.64142,0.36476,0.64176,0.50766,0.29993,1.7179,2.77519,2.15866,0.000806528,0.000806528,0.000806528
24,641.067,1.22445,1.66985,1.62016,0.38135,0.61212,0.48222,0.23961,1.63695,2.82127,2.01973,0.000778233,0.000778233,0.000778233
25,666.818,1.17921,1.54833,1.60162,0.50146,0.5596,0.53704,0.32112,1.58899,2.45088,1.95183,0.000749939,0.000749939,0.000749939
26,693.005,1.1978,1.51416,1.5871,0.47612,0.56125,0.48675,0.27316,1.65805,2.59539,1.96305,0.000721645,0.000721645,0.000721645
27,719.509,1.21178,1.55246,1.57745,0.53313,0.4858,0.39445,0.21026,1.62227,2.72279,1.96862,0.000693351,0.000693351,0.000693351
28,745.939,1.11576,1.50552,1.52234,0.47433,0.53139,0.4686,0.27724,1.59353,2.40029,2.00229,0.000665057,0.000665057,0.000665057
29,772.204,1.12219,1.49423,1.53319,0.59816,0.53589,0.5581,0.34513,1.44377,2.24722,1.89,0.000636762,0.000636762,0.000636762
30,798.545,1.10822,1.45564,1.54083,0.62708,0.64242,0.59719,0.381,1.41675,2.11715,1.82091,0.000608468,0.000608468,0.000608468
31,825.158,1.15345,1.48706,1.55383,0.72816,0.62711,0.64726,0.38729,1.57476,2.03243,1.94399,0.000580174,0.000580174,0.000580174
32,851.433,1.11262,1.44544,1.50492,0.67711,0.63529,0.66028,0.40206,1.40763,2.00642,1.86431,0.00055188,0.00055188,0.00055188
33,877.754,1.11193,1.4091,1.50279,0.73494,0.61108,0.61152,0.35894,1.46037,1.95536,1.98575,0.000523586,0.000523586,0.000523586
34,904.248,1.1132,1.36082,1.51266,0.72913,0.60145,0.60581,0.36503,1.46121,1.92872,2.01681,0.000495291,0.000495291,0.000495291
35,930.776,1.07282,1.31493,1.51564,0.63661,0.65657,0.60622,0.32951,1.52617,2.04409,2.01911,0.000466997,0.000466997,0.000466997
36,957.174,1.13546,1.34307,1.52668,0.52537,0.55614,0.53862,0.29332,1.58943,2.35639,1.98495,0.000438703,0.000438703,0.000438703
37,983.11,1.15024,1.40825,1.53125,0.59846,0.50553,0.55991,0.34904,1.59009,2.43868,1.91349,0.000410409,0.000410409,0.000410409
38,1009.12,1.06317,1.25937,1.46328,0.59945,0.57374,0.5878,0.3838,1.52171,2.4044,1.82843,0.000382115,0.000382115,0.000382115
39,1035.17,1.11777,1.31474,1.48915,0.63269,0.53079,0.59968,0.38693,1.48868,2.22996,1.802,0.00035382,0.00035382,0.00035382
40,1061.34,1.086,1.35963,1.51477,0.59619,0.56566,0.59074,0.37743,1.57326,2.17183,1.97836,0.000325526,0.000325526,0.000325526
41,1087,0.86722,1.50606,1.48453,0.41629,0.60914,0.52981,0.32454,1.6914,2.2105,2.16436,0.000297232,0.000297232,0.000297232
42,1112.78,0.82084,1.3696,1.44277,0.44745,0.62108,0.51337,0.28658,1.77761,2.29018,2.29094,0.000268938,0.000268938,0.000268938
43,1138.88,0.77382,1.29323,1.41803,0.48028,0.56563,0.5132,0.30803,1.72478,2.36699,2.16805,0.000240644,0.000240644,0.000240644
44,1165.27,0.79184,1.2257,1.3861,0.55235,0.57747,0.56683,0.3644,1.60649,2.25444,2.03164,0.000212349,0.000212349,0.000212349
45,1191.51,0.7554,1.18668,1.40135,0.62411,0.5596,0.59662,0.36704,1.54698,2.19794,1.91502,0.000184055,0.000184055,0.000184055
46,1218.04,0.77449,1.16529,1.39549,0.61933,0.63232,0.63344,0.37365,1.54975,2.2261,1.87177,0.000155761,0.000155761,0.000155761
47,1244.4,0.79152,1.11941,1.38003,0.71771,0.62626,0.64877,0.37665,1.54685,2.21802,1.86944,0.000127467,0.000127467,0.000127467
48,1270.37,0.7435,1.08709,1.35471,0.70972,0.60407,0.65434,0.405,1.47847,2.16897,1.81712,9.91726e-05,9.91726e-05,9.91726e-05
49,1296.37,0.74616,1.06387,1.34694,0.70561,0.60234,0.65605,0.41477,1.42341,2.16829,1.78031,7.08784e-05,7.08784e-05,7.08784e-05
50,1322.5,0.71053,1.10154,1.34707,0.71959,0.59661,0.65026,0.42384,1.36254,2.15152,1.72044,4.25842e-05,4.25842e-05,4.25842e-05
